casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,latitude,longitude,source,violent_cat,property_cat
2024-00000273,200 Block ATWELLS AVE,2024-01-02T03:07:56.000,1,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,BAucoin,2024-00000273-001,41.823571216500056,-71.42623064599994,E911,None,Motor Vehicle Theft
2024-00000266,ACORN ST &  ATWELLS AVE,2024-01-02T01:55:45.000,1,2024,Disturbance,Not Used,No violations,0,BAucoin,2024-00000266-001,41.82367324626248,-71.4280243037622,RIDOT,None,None
2024-00000260,200 Block SMITH ST,2024-01-02T01:11:00.000,1,2024,Auto Towed,Not Used,Parking or MV Violation,0,RAnderson,2024-00000260-001,41.83280510700007,-71.42011135649997,E911,None,None
2024-00000247,0 Block MANTON AVE,2024-01-01T23:43:26.000,1,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,NLaFazia,2024-00000247-001,41.82352864300003,-71.45321608199998,E911,None,None
2024-00000240,200 Block PROMENADE ST,2024-01-01T23:10:43.000,1,2024,Suspicious Person,Not Used,No Violations,0,THoulihan,2024-00000240-001,41.82929860550007,-71.42117509849996,E911,None,None
2024-00000236,0 Block TOBEY ST,2024-01-01T22:32:49.000,1,2024,Disturbance,Not Used,No Violations,0,BAucoin,2024-00000236-001,41.81890717050007,-71.43539921699994,E911,None,None
2024-00000227,0 Block WILD ST,2024-01-01T21:21:00.000,1,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,,2024-00000227-001,41.85519665800007,-71.43808649549996,E911,None,None
2024-00000216,200 Block LLOYD AVE,2024-01-01T19:45:00.000,1,2024,Fraud,Not Used,No violations,0,Central Station,2024-00000216-001,41.83246795250005,-71.39645110399996,E911,None,None
2024-00000214,0 Block KENNEDY PLZ,2024-01-01T19:38:05.000,1,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,GGenao,2024-00000214-001,41.82467416900005,-71.41238447799995,E911,None,None
2024-00000201,0 Block WHIPPLE ST,2024-01-01T17:27:00.000,1,2024,Suspicious Person,Not Used,No Violations,0,MLabutti,2024-00000201-001,41.83810505150004,-71.42037658449996,E911,None,None
2024-00000195,ATWELLS AVE &  HARRIS AVE,2024-01-01T16:53:00.000,1,2024,Auto Towed,Not Used,Parking or MV Violation,0,MPesola,2024-00000195-001,41.8244628867604,-71.43549348124851,RIDOT,None,None
2024-00000184,PARKVIEW AVE &  BROAD ST,2024-01-01T16:03:00.000,1,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,WSherrill,2024-00000184-001,41.792171474125375,-71.40716553558129,RIDOT,None,None
2024-00000166,JOSLIN ST &  AMHERST ST,2024-01-01T14:04:00.000,1,2024,Shots Fired,Not Used,No Violations,0,DRosso,2024-00000166-001,41.82321548284413,-71.44661713033086,RIDOT,None,None
2024-00000164,700 Block MANTON AVE,2024-01-01T13:41:50.000,1,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,SIm,2024-00000164-001,41.830747154500045,-71.46320656349997,E911,None,None
2024-00000154,600 Block CRANSTON ST,2024-01-01T13:00:00.000,1,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MAddai,2024-00000154-001,41.80622305700004,-71.43617153699998,E911,None,None
2024-00000154,600 Block CRANSTON ST,2024-01-01T13:00:00.000,1,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,MAddai,2024-00000154-002,41.80622305700004,-71.43617153699998,E911,None,None
2024-00000144,100 Block DODGE ST,2024-01-01T11:41:00.000,1,2024,Request for Assistance,Not Used,No Violations,0,LFernandez,2024-00000144-001,41.81396466100006,-71.42494706999994,E911,None,None
2024-00000142,EDDY ST &  PUBLIC ST,2024-01-01T11:34:00.000,1,2024,Motor Vehicle Violation,Not Used,No Violations,0,BDyer,2024-00000142-001,41.80731200411138,-71.40724945251952,RIDOT,None,None
2024-00000134,100 Block HUDSON ST,2024-01-01T11:05:59.000,1,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,MCamardo,2024-00000134-001,41.81324417800005,-71.43774787649997,E911,None,Motor Vehicle Theft
2024-00000135,0 Block BODELL AVE,2024-01-01T10:45:00.000,1,2024,Request for Assistance,Not Used,No Violations,0,TSavard,2024-00000135-001,41.81744571450005,-71.45287587699997,E911,None,None
2024-00000125,0 Block W PARK ST,2024-01-01T09:38:00.000,1,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,LRamalho,2024-00000125-001,41.83141526000003,-71.41961573399996,E911,None,None
2024-00000110,200 Block VALLEY ST,2024-01-01T07:58:00.000,1,2024,Malicious Mischief,Not Used,No Violations,0,DRosso,2024-00000110-001,41.82394668900005,-71.43964583449997,E911,None,None
2024-00000093,0 Block BERNON ST,2024-01-01T04:56:00.000,1,2024,Suspicious Person,Not Used,No Violations,0,LPrete,2024-00000093-001,41.83533036200004,-71.42038819449996,E911,None,None
2024-00000089,100 Block TELL ST,2024-01-01T04:50:24.000,1,2024,Disturbance,Not Used,No violations,0,BAucoin,2024-00000089-001,41.82148731650005,-71.43426392299995,E911,None,None
2024-00000087,1200 Block WESTMINSTER ST,2024-01-01T04:26:42.000,1,2024,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,CFernandez,2024-00000087-001,41.816630848000045,-71.42959654449996,E911,None,Burglary
2024-00000078,0 Block ASHBURTON ST,2024-01-01T03:39:00.000,1,2024,Traffic Violation,31-27-4,"Reckless Driving, Drag Racing - Attempting to Elude",1,RByfield,2024-00000078-001,41.83771641550004,-71.41519687699994,E911,None,None
2024-00000078,0 Block ASHBURTON ST,2024-01-01T03:39:00.000,1,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,RByfield,2024-00000078-002,41.83771641550004,-71.41519687699994,E911,None,None
2024-00000048,0 Block CONCANNON ST,2024-01-01T02:19:00.000,1,2024,Shots Fired,Not Used,No Violations,0,LPrete,2024-00000048-001,41.85358546400005,-71.43647237949995,E911,None,None
2024-00000038,0 Block BURNSIDE ST,2024-01-01T01:47:00.000,1,2024,Disturbance,Not Used,No Violations,0,,2024-00000038-001,41.80445851400006,-71.41204860649998,E911,None,None
2024-00000024,0 Block DAVOL SQUARE,2024-01-01T01:17:23.000,1,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,ILiriano,2024-00000024-001,41.81691510650006,-71.40648406149995,E911,None,None
2024-00000007,0 Block CLEMATIS ST,2024-01-01T00:23:31.000,1,2024,Arson,11-4-5,ARSON-4TH DEGREE,1,BMcDonnell,2024-00000007-001,41.83399990300006,-71.44587153499995,E911,None,Arson
2024-00000001,0 Block PRUDENCE AVE,2024-01-01T00:06:40.000,1,2024,Suspicious Person,Not Used,No Violations,0,NLaFazia,2024-00000001-001,41.80716425750006,-71.46168460749996,E911,None,None
2024-00001127,0 Block DIAMOND ST,2024-01-05T08:12:00.000,1,2024,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,2024-00001127-001,41.81080188400006,-71.42973895049997,E911,None,None
2024-00001120,FORD ST &  MESSER ST,2024-01-05T07:40:00.000,1,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,ASantos,2024-00001120-001,41.81067275459136,-71.43531799558839,RIDOT,None,None
2024-00001102,500 Block ATWELLS AVE,2024-01-05T02:48:50.000,1,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,THoulihan,2024-00001102-001,41.82480543450004,-71.43562848149998,E911,None,Motor Vehicle Theft
2024-00001096,0 Block CAROLINA AVE,2024-01-05T02:10:22.000,1,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,MNunez,2024-00001096-001,41.79192642250007,-71.39507932349994,E911,None,None
2024-00001083,HANOVER ST &  CRANSTON ST,2024-01-05T00:49:00.000,1,2024,Motor Vehicle Violation,Not Used,No Violations,0,JGuiot,2024-00001083-001,41.80946731206608,-71.43355560962365,RIDOT,None,None
2024-00001075,0 Block EDWARD ST,2024-01-04T23:31:03.000,1,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,MCarlone,2024-00001075-001,41.852506927000064,-71.41372091649995,E911,None,None
2024-00001069,0 Block JOSEPH ST,2024-01-04T22:37:03.000,1,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,RRaso,2024-00001069-001,41.85535684100006,-71.44375204099995,E911,None,None
